Дата,0 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90+
2020/06/06,162,221,395,461,547,504,261,99,18
2020/06/07,167,228,403,471,554,508,262,100,18
2020/06/08,167,231,408,474,557,510,262,100,18
2020/06/09,169,240,429,494,582,513,264,101,18
2020/06/10,181,244,441,510,601,521,271,102,18
2020/06/11,196,254,461,528,622,533,275,105,19
2020/06/12,208,261,470,542,643,548,286,109,19
2020/06/13,217,269,486,562,675,557,296,110,19
2020/06/14,228,271,496,577,691,570,303,111,19
2020/06/15,233,272,500,582,695,573,304,112,19
2020/06/16,240,278,504,595,705,579,309,112,19
2020/06/17,257,289,527,618,720,588,321,114,19
2020/06/18,267,293,542,633,734,612,327,115,19
2020/06/19,279,310,561,657,765,627,338,118,19
2020/06/20,281,315,574,673,777,653,342,121,19
2020/06/21,294,322,587,700,800,672,352,126,19
2020/06/22,296,324,594,709,808,676,353,126,19
2020/06/23,297,335,608,720,826,691,360,128,19
2020/06/24,305,347,638,738,854,712,370,131,19
2020/06/25,311,368,652,769,878,733,381,131,19
2020/06/26,328,393,684,803,903,752,390,136,19
2020/06/27,338,408,705,823,927,765,392,136,19
2020/06/28,341,435,723,843,949,779,399,137,19
2020/06/29,342,441,733,861,966,789,402,138,19
2020/06/30,348,456,762,892,1001,801,409,143,19
2020/07/01,359,478,792,922,1032,822,420,145,19
2020/07/02,378,503,815,952,1064,849,426,148,19
2020/07/03,401,536,839,978,1092,863,435,152,19
2020/07/04,433,559,874,1009,1118,885,445,154,20
2020/07/05,477,590,901,1030,1138,904,457,159,21
2020/07/06,480,598,907,1039,1156,919,461,159,21
2020/07/07,514,629,945,1064,1181,929,470,161,21
2020/07/08,540,667,983,1097,1204,950,478,162,21
2020/07/09,588,739,1033,1126,1217,963,490,165,21
2020/07/10,632,802,1090,1184,1277,1000,498,168,21
2020/07/11,680,868,1146,1227,1323,1020,510,168,22
2020/07/12,707,911,1180,1265,1354,1044,521,171,22
2020/07/13,716,926,1190,1278,1370,1053,524,173,22
2020/07/14,740,955,1217,1304,1391,1068,538,176,22
2020/07/15,765,987,1263,1346,1433,1095,555,177,24
2020/07/16,797,1029,1302,1391,1460,1122,572,180,24
2020/07/17,816,1072,1358,1452,1503,1148,589,181,25
2020/07/18,846,1116,1425,1507,1558,1173,605,187,25
2020/07/19,869,1142,1456,1544,1590,1198,623,191,25
